Implementing Agency,Lead Organization,Org Type,District,Sub Dstrict,Village,Admin Level 5,Sector/Cluster,Sub Sector,Status,Activity Details,Start Date,End Date,Total Beneficiaries Reached (HOUSEHOLD),Total Beneficiaries Planned (HOUSEHOLD),Primary Beneficiary Type,# of Primary Beneficiaries,Activity Description,Material Provided
BKP PGRI,,National NGOs,Palu,Palu Barat,Baru,SMAN 4 Palu,Protection,Protection of  WomenÕs Rights,Completed,Trauma healing,Oct-25-2018,Oct-25-2018,,,Student,60,Psychosocial support for women,Provide psychosocial supports
BSMI,,National NGOs,Sigi,Sigi Biromaru,Biromaru,RS Lapangan BSMI,Health,Reproductive Health,Completed,servicee,Oct-21-2018,Oct-26-2018,,,Pregnant women,17,Reproductive health services,1
CARE - PKPU,,International NGOs,Donggala,Banawa,Loli Tasiburi,,WASH,Hygiene,Completed,Hygiene kits,,Oct-18-2018,,,Family/HH,3480,,"Buckets/water containers, soap, detergent, dignity kits, etc"
CARE-PKPU,,International NGOs,Donggala,Sirenja,Balentuma,,WASH,Hygiene,Completed,Hygiene kits,,Oct-17-2018,,,Family/HH,2100,,"Buckets/water containers, soap, detergent, dignity kits, etc"
IBI/Dinkes/UNFPA,,Government,Parigi Moutong,Binangga,Parigi,IDPs camps in  Binangga Atas,Health,Reproductive Health,Completed,Need assessment of RH tent,Oct-27-2018,Oct-28-2018,,,"WRA, pregnant women and delivery mothers ",25% of IDPs,Rapid assessment,RH tent
IBI/Dinkes/UNFPA,,Government,Sigi,Gumbasa,Pandere,Pandere,Health,Reproductive Health,Completed,Post Natal Care (PNC),Oct-21-2018,Oct-27-2018,,,delivery mothers,1,Kits distribution,Post Natal Care (PNC)
IBI/Dinkes/UNFPA,,Government,Sigi,Gumbasa,Pandere,Pandere,Health,Reproductive Health,Completed,Referral,Oct-21-2018,Oct-27-2018,,,Pregnant women,2,Kits distribution,Referral services
IBI/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,4,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka,Health,Reproductive Health,Completed,Kit distribution,Oct-21-2018,Oct-27-2018,,,Midwives,1,Reproductive health services,Bidan kits
IBI/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka,Health,Reproductive Health,Completed,Education,Oct-21-2018,Oct-27-2018,,,Adult males and females,21,Reproductive health services,RH session
